OBS.,ANSWERED,INCOME,FEMALE,AGE,JOB,NUM_DEPENDENTS,RENT,OWN_RES,NEW_CAR,CHK_ACCT,SAV_ACCT,NUM_ACCTS,MOBILE,PRODUCT
72577,0,23190,1,33,2,1,1,0,0,2,0,1,0,0
72831,0,25200,0,23,1,1,0,1,0,1,2,2,0,0
73004,1,23310,0,49,2,1,0,1,0,3,4,4,0,4
73299,1,48110,0,24,1,1,1,0,0,3,4,3,1,4
73487,0,35520,0,27,2,1,0,1,0,0,0,3,0,0
73511,0,23190,1,33,2,1,1,0,0,2,0,1,0,0
73804,1,75820,0,31,3,1,0,0,0,1,1,0,0,4
73919,1,26470,0,44,2,2,1,0,0,0,2,2,0,3
73979,1,61100,0,31,2,1,0,0,0,3,0,2,0,3
74620,1,24060,0,31,3,1,0,1,0,3,0,0,0,3
75078,1,12250,0,37,2,1,0,1,0,2,0,2,0,2
75504,1,8460,0,36,2,1,0,0,0,3,4,4,0,4
75519,0,7500,0,27,0,1,0,1,0,0,0,0,0,0
75957,1,13130,0,20,2,1,0,1,0,3,0,4,0,4
76102,1,37570,0,62,2,1,0,0,1,3,0,4,0,4
76795,1,11490,0,46,2,1,0,1,0,3,3,2,0,3
77010,0,68360,0,63,2,1,0,1,0,0,0,4,0,0
77201,1,9830,0,19,1,1,1,0,0,1,3,1,0,4
78969,0,18820,0,25,2,1,1,0,0,0,0,2,0,0
79540,1,3430,0,27,2,1,0,1,0,0,0,1,0,1
79703,1,44390,0,33,3,1,0,1,0,1,0,4,0,1
80073,1,21080,0,29,2,1,1,0,0,3,0,3,0,2
80384,0,29690,0,25,2,1,1,0,0,1,0,1,0,0
80411,0,74850,0,53,3,1,0,1,0,3,4,0,1,0
80828,0,126800,0,30,3,1,0,0,1,3,4,4,0,0
81827,1,38350,0,45,1,1,0,1,0,3,4,4,0,4
82302,1,28990,0,43,2,2,0,1,1,1,4,4,0,4
83619,1,72380,0,32,2,2,0,1,0,3,4,4,0,3
83818,0,47360,0,25,1,1,0,1,0,1,0,1,0,0
83899,1,15670,0,22,2,1,0,1,0,1,0,2,0,1
84268,1,15680,0,24,1,1,1,0,0,3,1,2,0,4
84631,1,12640,0,57,1,1,1,0,0,3,4,4,0,4
85062,1,23480,0,46,2,1,0,1,0,0,0,2,0,2
85968,1,11690,0,67,2,1,0,1,0,0,4,4,0,4
86295,0,22250,0,57,2,1,0,0,1,1,0,4,0,0
86415,1,15430,1,33,2,1,0,1,0,3,3,2,0,2
86801,0,15010,0,34,3,1,0,1,0,1,0,4,0,0
86839,1,26970,0,32,2,2,0,1,0,3,0,2,0,2
86904,1,11690,0,67,2,1,0,1,0,0,4,4,0,4
87130,0,62290,0,23,1,1,1,0,0,0,0,1,0,0
87392,1,38350,0,45,1,1,0,1,0,3,4,4,0,4
87393,1,12950,0,27,2,1,0,1,0,1,0,1,0,1
87522,1,30770,0,52,2,1,0,1,0,3,0,2,0,4
87549,1,12870,0,37,2,1,0,1,1,3,3,4,0,4
87757,0,47360,0,25,1,1,0,1,0,1,0,1,0,0
88837,0,13660,0,22,2,1,1,0,0,0,0,1,0,0
88958,1,64190,0,44,3,2,0,0,0,0,0,4,1,4
89257,1,14240,0,55,3,1,0,1,0,2,4,4,0,4
89303,0,12850,0,32,2,1,1,0,1,0,4,3,0,0
89385,1,21210,0,30,2,1,0,1,1,0,0,2,0,2
89503,0,39650,0,34,2,1,0,1,0,0,0,1,0,0
89971,1,7540,0,38,2,1,0,1,0,1,4,4,0,4
90309,1,23150,0,52,1,1,0,1,0,0,0,4,0,4
90327,1,13910,0,27,2,1,0,1,0,1,0,2,0,1
90738,1,60780,0,32,2,1,0,1,1,1,0,3,0,2
91605,1,9990,0,25,2,1,0,1,0,3,4,4,0,2
91625,0,78550,0,25,2,1,0,1,1,3,0,2,0,0
91755,1,12640,0,57,1,1,1,0,0,3,4,4,0,4
91781,1,24060,0,31,3,1,0,1,0,3,0,0,0,3
92393,1,15160,0,43,1,1,0,1,0,3,3,2,0,1
93018,0,12460,0,23,1,1,0,1,1,1,0,1,0,0
93789,1,9090,0,36,2,1,0,1,1,3,2,4,0,4
94204,0,39140,1,38,2,1,0,1,0,3,4,2,0,0
94418,1,34480,0,74,1,1,0,1,0,3,0,3,0,4
94511,1,14090,0,54,2,1,0,1,0,0,0,4,1,3
94674,1,27450,0,32,2,1,0,1,0,1,3,3,0,2
95126,1,5710,0,65,2,1,0,1,1,0,0,4,0,4
95508,1,12870,0,45,1,1,0,1,1,3,4,4,0,2
95637,0,9500,0,33,2,2,1,0,1,0,0,4,0,0
95653,0,25700,0,21,2,1,1,0,1,3,0,2,0,0
96333,0,27180,0,20,1,1,1,0,1,1,0,2,0,0
96801,0,13550,0,25,1,1,0,1,1,1,0,1,0,0
96886,1,17210,0,36,2,1,0,1,1,0,0,1,0,3
96958,1,12870,0,37,2,1,0,1,1,3,3,4,0,4
97346,0,24060,0,23,2,1,1,0,0,0,0,3,0,0
97903,1,9320,0,24,2,1,0,1,0,3,0,2,0,2
98109,0,109610,0,27,2,1,0,1,0,1,3,3,0,0
98534,0,99600,0,26,2,1,0,1,0,1,0,1,0,0
98583,0,64580,0,39,3,2,0,1,1,3,0,4,0,0
98620,1,11540,0,57,1,1,0,1,0,3,1,0,0,4
98667,1,48110,0,24,1,1,1,0,0,3,4,3,1,4
98851,0,34990,0,29,2,1,0,1,1,0,0,2,0,0
99047,0,15460,0,24,1,1,1,0,0,0,0,3,0,0
99922,1,27600,0,36,2,1,0,0,0,1,4,4,1,4
100211,1,9830,0,19,1,1,1,0,0,1,3,1,0,4
100438,0,10420,0,33,2,1,0,1,1,1,4,2,0,0
100685,1,6820,0,51,2,1,0,1,1,3,1,3,0,3
100780,0,78550,0,25,2,1,0,1,1,3,0,2,0,0
100814,1,25220,0,39,2,2,0,1,0,0,0,4,0,3
101922,1,36200,0,37,2,2,0,1,0,0,0,2,0,2
102366,1,19500,0,34,2,1,0,1,0,3,0,3,0,1
102512,0,41100,0,23,2,2,1,0,0,0,0,4,0,0
102914,1,20730,0,28,2,1,0,1,0,3,1,2,0,2
103066,0,61430,0,58,1,1,0,0,0,0,0,4,1,0
103204,1,13300,0,26,2,1,0,1,1,2,0,1,0,1
103281,1,23370,0,36,2,1,0,1,0,1,0,4,0,4
103371,1,23660,1,36,3,1,0,1,1,1,2,3,0,3
103539,0,59980,0,27,2,1,0,1,0,0,0,2,0,0
103613,1,38680,0,41,3,1,1,0,0,3,0,4,1,2
103777,1,10070,0,22,2,1,0,1,1,1,3,2,0,1
104063,1,34470,0,35,1,2,0,1,0,3,2,2,0,3
104248,1,19010,0,29,3,1,1,0,0,3,1,2,0,4
105288,1,7170,0,52,2,1,0,1,0,3,0,4,0,4
106024,0,26710,0,50,2,1,0,0,0,1,1,2,0,0
106086,1,20120,0,61,2,1,0,1,0,3,4,3,0,2
106730,1,77580,0,29,2,1,1,0,0,1,3,4,1,4
107497,1,7830,0,26,1,2,0,1,1,3,4,2,0,2
108088,0,23020,1,31,2,1,1,0,0,0,0,2,0,0
108160,1,12440,0,41,1,1,1,0,0,3,4,4,0,4
108402,1,13130,0,20,2,1,0,1,0,3,0,4,0,4
108642,0,25790,0,33,1,2,0,1,1,0,0,1,0,0
108980,0,12400,0,48,1,2,0,0,1,2,1,4,0,0
109154,1,27430,0,29,2,1,0,1,0,3,0,4,0,2
109254,1,30790,0,36,2,1,0,1,1,3,4,2,0,4
109426,1,63040,0,36,2,1,0,1,0,3,4,4,0,4
110057,1,73080,0,70,3,1,0,0,1,1,0,0,0,4
110364,1,13820,0,28,2,1,0,1,0,3,0,2,0,1
110590,1,47880,0,26,2,2,0,1,0,0,0,3,1,3
110965,1,12640,0,57,1,1,1,0,0,3,4,4,0,4
110969,0,15460,0,24,1,1,1,0,0,0,0,3,0,0
110986,1,7070,0,30,2,1,0,1,0,3,0,2,0,2
111313,1,12620,0,25,2,1,0,1,0,3,0,2,0,2
111344,0,39310,0,46,2,2,0,0,1,0,0,3,0,0
111662,1,13300,0,26,2,1,0,1,1,2,0,1,0,1
111845,0,21490,1,29,2,1,0,0,0,0,0,2,0,0
112613,0,6390,0,30,2,1,0,1,0,1,0,2,0,0
113075,1,26590,0,28,2,1,0,1,0,0,3,2,0,2
113647,1,36500,0,22,2,1,1,0,0,0,0,1,0,4
113661,0,90340,0,29,3,1,1,0,0,1,1,1,0,0
113710,1,26790,0,29,3,1,0,1,0,3,0,1,1,1
113812,0,15460,0,24,1,1,1,0,0,0,0,3,0,0
113935,0,29960,0,20,2,1,0,1,0,0,4,2,0,0
114107,0,15460,0,24,1,1,1,0,0,0,0,3,0,0
114223,1,30740,0,33,2,2,0,1,0,3,4,2,0,2
114479,0,67610,0,68,2,1,1,0,1,3,4,2,0,0
115293,0,29960,0,20,2,1,0,1,0,0,4,2,0,0
115959,0,42100,0,26,2,1,0,1,0,2,0,2,0,0
116022,1,19670,0,20,2,1,0,1,0,1,0,4,0,4
117178,0,62290,0,23,1,1,1,0,0,0,0,1,0,0
117738,0,9510,0,27,2,1,1,0,0,1,1,1,0,0
118213,0,22250,0,57,2,1,0,0,1,1,0,4,0,0
118224,0,12740,0,37,1,1,0,1,1,0,0,1,0,0
118691,1,38120,0,23,2,1,0,1,0,3,1,1,1,4
119364,0,26310,0,28,2,1,1,0,1,1,1,2,0,0
119405,1,32130,0,25,2,1,1,0,0,1,2,1,0,3
119636,0,19240,0,27,2,1,1,0,0,1,4,1,0,0
120084,0,15300,0,32,2,1,0,1,1,3,0,2,0,0
120889,0,86480,0,27,2,1,0,1,0,3,0,1,0,0
120933,0,12450,0,33,2,1,0,1,0,1,0,2,0,0
121293,1,15200,0,63,2,1,0,1,0,3,4,4,0,4
121668,0,42490,0,28,3,1,0,1,1,1,0,0,0,0
123155,1,33780,0,31,2,1,0,1,0,3,4,2,1,1
123280,0,10420,0,33,2,1,0,1,1,1,4,2,0,0
123521,0,19430,0,23,2,1,0,1,0,3,0,1,0,0
123888,1,29100,0,34,3,1,0,0,0,0,0,3,1,1
124187,1,7070,0,30,2,1,0,1,0,3,0,2,0,2
124338,1,13520,0,23,0,1,1,0,0,0,2,0,1,2
124563,1,47950,0,30,3,1,0,1,0,1,0,1,0,1
125074,1,20300,0,24,2,1,0,1,0,1,4,3,0,1
125078,0,18420,0,34,2,1,0,1,1,0,0,1,0,0
125138,1,21080,0,29,2,1,1,0,0,3,0,3,0,2
126767,0,11310,0,33,2,1,0,1,0,0,0,0,0,0
126904,1,11750,0,68,0,1,0,0,1,1,0,0,0,3
126949,1,19500,0,34,2,1,0,1,0,3,0,3,0,1
127373,0,47360,0,25,1,1,0,1,0,1,0,1,0,0
127446,1,60700,0,33,2,1,0,1,0,3,0,4,0,4
127455,1,39490,0,37,1,2,0,1,1,2,0,1,0,1
128356,0,41100,0,23,2,2,1,0,0,0,0,4,0,0
128359,0,23590,1,33,2,1,0,1,0,0,1,0,0,0
128510,1,32350,1,26,3,1,0,1,0,3,2,4,0,2
128548,1,15680,0,24,1,1,1,0,0,3,1,2,0,4
129032,0,6970,0,46,2,1,0,1,1,0,0,1,0,0
129203,1,24040,0,26,2,1,0,1,0,3,0,2,0,2
129203,1,30170,0,34,3,1,1,0,0,1,0,1,0,1
129621,1,11540,0,57,1,1,0,1,0,3,1,0,0,4
131292,1,26790,0,29,3,1,0,1,0,3,0,1,1,1
131488,1,51170,0,26,2,1,0,1,0,3,0,3,0,4
131745,1,61870,0,24,2,1,1,0,0,0,1,3,1,4
131791,0,68500,0,34,3,2,0,1,1,1,1,0,0,0
131907,0,12450,0,33,2,1,0,1,0,1,0,2,0,0
132106,0,42970,1,40,3,1,0,1,0,1,0,4,0,0
132202,1,26970,0,32,2,2,0,1,0,3,0,2,0,2
132250,0,90340,0,29,3,1,1,0,0,1,1,1,0,0
132337,1,34300,0,31,2,2,0,1,0,3,2,4,0,2
132338,1,25070,0,51,1,1,0,0,1,3,2,4,0,4
133730,1,12880,0,48,2,2,0,1,0,0,1,4,0,4
134201,0,27180,0,20,1,1,1,0,1,1,0,2,0,0
135851,0,95720,1,28,2,1,0,1,0,3,0,1,0,0
135878,0,15010,0,34,3,1,0,1,0,1,0,4,0,0
136066,1,36170,0,20,2,1,1,0,0,2,4,4,0,4
136822,0,64580,0,39,3,2,0,1,1,3,0,4,0,0
137104,1,29780,0,32,2,2,0,1,0,3,4,2,0,4
